trans_id	bundle_id	chr	left	right	FPKM_1	FPKM_2	FPKM_1/FPKM_2	FMI	frac	FPKM_conf_lo	FPKM_conf_hi	coverage	length	Contig	Contig_length	Accession1	Description1	eval1	Accession2	Description2	eval2
CUFF.1017.1	4657.00	NODE_19295_length_67_cov_3.582090	0.00	133.00	366.80	13.54	27.08	1.00	1.00	316.49	417.10	121.52	133.00	NODE_19295_length_67_cov_3.582090	133.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	5.0e-45	emb|CU223764.1|	Populus EST from leave.	7.0e-38
CUFF.1019.1	4659.00	NODE_192_length_486_cov_99.973251	0.00	552.00	2489.64	4.80	517.99	1.00	1.00	2425.31	2553.97	824.67	552.00	NODE_192_length_486_cov_99.973251	552.00	gb|BT097908.1|	Soybean clone JCVI-FLGm-11F18 unknown mRNA.	1.0e-135	gb|BT095345.1|	Soybean clone JCVI-FLGm-7O11 unknown mRNA.	1.0e-127
CUFF.1021.1	4661.00	NODE_19302_length_248_cov_4.326613	0.00	314.00	167.32			1.00	1.00	145.20	189.43	55.43	314.00	NODE_19302_length_248_cov_4.326613	314.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	3.0e-42	emb|CU223764.1|	Populus EST from leave.	5.0e-38
CUFF.1023.1	4663.00	NODE_19330_length_165_cov_4.690909	0.00	231.00	87.38			1.00	1.00	68.75	106.01	28.94	231.00	NODE_19330_length_165_cov_4.690909	231.00	gb|EU835853.1|	Cicer arietinum voucher ICCV 10 chloroplast, complete genome.	4.0e-50	gb|AC145820.20|	Cicer arietinum strain WR-315, cultivar clone cpchlor map chloroplast, complete sequence.	4.0e-50
CUFF.1029.1	4669.00	NODE_19369_length_269_cov_70.765800	0.00	315.00	983.83	817.26	1.20	1.00	1.00	930.29	1037.36	325.87	315.00	NODE_19369_length_269_cov_70.765800	335.00	gb|BT097996.1|	Soybean clone JCVI-FLGm-16B5 unknown mRNA.	4.0e-17	gb|AC235194.1|	Glycine max strain Williams 82 clone GM_WBb0013G10, complete sequence.	2.0e-12
CUFF.103.1	3659.00	NODE_1066_length_462_cov_34.705627	0.00	528.00	918.66	401.10	2.29	1.00	1.00	873.70	963.62	303.98	417.00	NODE_1066_length_462_cov_34.705627	528.00	gb|AC189549.2|	Brassica rapa subsp. pekinensis clone KBrH005C21, complete sequence.	7.0e-20	emb|BX827695.1|	Arabidopsis thaliana Full-length cDNA Complete sequence from clone GSLTPGH11ZA12 of Hormone Treated Callus of strain col-0 of Arabidopsis thaliana (thale cress).	3.0e-19
CUFF.1031.1	4671.00	NODE_1936_length_1016_cov_24.623032	0.00	1082.00	580.04			1.00	1.00	557.87	602.22	192.15	1082.00	NODE_1936_length_1016_cov_24.623032	1082.00	ref|XM_002284621.1|	PREDICTED: Vitis vinifera hypothetical protein LOC100267354 (LOC100267354), mRNA.	6.0e-68	emb|AM461297.1|	Vitis vinifera, whole genome shotgun sequence, contig VV78X135798.9, clone ENTAV 115.	1.0e-38
CUFF.1033.1	4675.00	NODE_19391_length_71_cov_7.253521	2.00	137.00	112.14			1.00	1.00	84.53	139.75	37.15	135.00	NODE_19391_length_71_cov_7.253521	137.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	3.0e-28	emb|CU223764.1|	Populus EST from leave.	2.0e-26
CUFF.1036.1	4677.00	NODE_193_length_660_cov_45.119698	0.00	726.00	1013.30	4.72	214.51	1.00	1.00	977.51	1049.09	335.67	726.00	NODE_193_length_660_cov_45.119698	726.00	gb|BT094039.1|	Soybean clone JCVI-FLGm-24H19 unknown mRNA.	1.0e-166	dbj|AK285216.1|	Glycine max cDNA, clone: GMFL01-05-B17.	1.0e-166
CUFF.1038.1	4681.00	NODE_19472_length_126_cov_10.500000	1.00	191.00	159.36			1.00	1.00	131.62	187.10	52.79	190.00	NODE_19472_length_126_cov_10.500000	192.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	4.0e-22	emb|CU223764.1|	Populus EST from leave.	1.0e-21
CUFF.1040.1	4685.00	NODE_19521_length_80_cov_7.625000	0.00	145.00	94.92			1.00	1.00	70.41	119.42	31.44	145.00	NODE_19521_length_80_cov_7.625000	146.00	emb|CU223764.1|	Populus EST from leave.	4.0e-12	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	4.0e-12
CUFF.1042.1	4687.00	NODE_19524_length_78_cov_9.230769	0.00	144.00	1112.07			1.00	1.00	1027.89	1196.25	368.44	144.00	NODE_19524_length_78_cov_9.230769	144.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	4.0e-49	emb|CU223764.1|	Populus EST from leave.	2.0e-47
CUFF.1045.1	4683.00	NODE_194_length_236_cov_300.466095	0.00	302.00	5397.52	9.77	551.94	1.00	1.00	5269.46	5525.58	1787.98	302.00	NODE_194_length_236_cov_300.466095	302.00	ref|XM_002530808.1|	Ricinus communis conserved hypothetical protein, mRNA.	0.02	ref|XM_001936953.1|	Pyrenophora tritici-repentis Pt-1C-BFP conserved hypothetical protein, mRNA.	0.11
CUFF.1047.1	4693.00	NODE_1959_length_180_cov_43.916668	0.00	246.00	735.26			1.00	1.00	682.89	787.63	243.54	246.00	NODE_1959_length_180_cov_43.916668	246.00	emb|FP017128.8|	Zebrafish DNA sequence from clone CH73-319G13, complete sequence.	0.09	gb|AE014185.2|	Plasmodium falciparum 3D7 chromosome 10, complete sequence.	0.36
CUFF.1049.1	4695.00	NODE_19604_length_93_cov_7.161290	0.00	159.00	1569.73	51.96	30.20	1.00	1.00	1474.56	1664.91	520.07	159.00	NODE_19604_length_93_cov_7.161290	159.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	1.0e-43	emb|CU223764.1|	Populus EST from leave.	2.0e-38
CUFF.105.1	3663.00	NODE_10715_length_67_cov_78.074623	0.00	133.00	2224.80	7.24	307.27	1.00	1.00	2100.91	2348.69	736.93	133.00								
CUFF.1051.1	4691.00	NODE_1956_length_494_cov_105.155869	0.00	560.00	2306.61	6.72	343.08	1.00	1.00	2245.13	2368.08	764.12	560.00	NODE_1956_length_494_cov_105.155869	560.00	gb|AC137510.33|	Medicago truncatula clone mth2-8m7, complete sequence.	3.0e-22	gb|AC146564.2|	Medicago truncatula chromosome 8 clone mth2-67l12, complete sequence.	3.0e-22
CUFF.1053.1	4699.00	NODE_19634_length_69_cov_8.898551	1.00	135.00	106.13			1.00	1.00	79.17	133.09	35.16	134.00	NODE_19634_length_69_cov_8.898551	135.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	3.0e-40	emb|CU223764.1|	Populus EST from leave.	3.0e-34
CUFF.1055.1	4701.00	NODE_19652_length_67_cov_12.567164	0.00	133.00	2398.15	47.43	50.55	1.00	1.00	2269.52	2526.77	794.53	133.00	NODE_19652_length_67_cov_12.567164	133.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	3.0e-37	emb|CU223764.1|	Populus EST from leave.	7.0e-35
CUFF.1057.1	4697.00	NODE_1962_length_571_cov_93.742554	0.00	637.00	2461.72			1.00	1.00	2402.17	2521.27	815.49	637.00	NODE_1962_length_571_cov_93.742554	637.00	gb|BT089204.1|	Soybean clone JCVI-FLGm-1I20 unknown mRNA.	1.0e-168	dbj|AK285565.1|	Glycine max cDNA, clone: GMFL01-12-K22.	1.0e-168
CUFF.1059.1	4703.00	NODE_19656_length_67_cov_9.805970	0.00	133.00	9537.27	167.87	56.81	1.00	1.00	9280.76	9793.78	3159.82	133.00	NODE_19656_length_67_cov_9.805970	133.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	7.0e-35	emb|CU223764.1|	Populus EST from leave.	3.0e-31
CUFF.1061.1	4707.00	NODE_1967_length_251_cov_32.330677	0.00	317.00	796.71			1.00	1.00	748.69	844.73	263.89	317.00	NODE_1967_length_251_cov_32.330677	317.00	gb|BT099020.1|	Soybean clone JCVI-FLGm-13I20 unknown mRNA.	9.0e-12	gb|BT091877.1|	Soybean clone JCVI-FLGm-9C23 unknown mRNA.	9.0e-12
CUFF.1063.1	4709.00	NODE_19713_length_392_cov_10.201530	55.00	454.00	64.39	234.28	0.27	1.00	1.00	52.22	76.55	21.32	399.00	NODE_19713_length_392_cov_10.201530	458.00	ref|XM_002284603.1|	PREDICTED: Vitis vinifera hypothetical protein LOC100247453 (LOC100247453), mRNA.	9.0e-22	emb|AM464048.2|	Vitis vinifera contig VV78X005837.8, whole genome shotgun sequence.	3.0e-18
CUFF.1066.1	4713.00	NODE_1972_length_69_cov_27.550724	0.00	135.00	679.58			1.00	1.00	611.61	747.54	225.15	135.00	NODE_1972_length_69_cov_27.550724	135.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	2.0e-47	emb|CU223764.1|	Populus EST from leave.	1.0e-45
CUFF.1068.1	4711.00	NODE_1971_length_273_cov_115.498169	0.00	339.00	2296.61			1.00	1.00	2217.77	2375.46	760.83	339.00	NODE_1971_length_273_cov_115.498169	339.00	gb|AC235417.1|	Glycine max strain Williams 82 clone GM_WBb0135A07, complete sequence.	4.0e-17	dbj|AB062669.1|	Cucurbita maxima CmMP73 mRNA for preproMP73, complete cds.	2.0e-06
CUFF.107.1	3665.00	NODE_10716_length_421_cov_37.786224	0.00	321.00	468.07	906.66	0.51	1.00	1.00	431.49	504.65	155.01	321.00								
CUFF.1070.1	4715.00	NODE_19746_length_233_cov_22.012875	41.00	299.00	116.47	512.80	0.22	1.00	1.00	96.12	136.82	38.48	258.00	NODE_19746_length_233_cov_22.012875	299.00	gb|EU920046.1|	Vicia faba clone 016 E08 defensin-like protein mRNA, complete cds.	0.11	gb|EU920045.1|	Vicia faba clone 011 F07 defensin-like protein mRNA, complete cds.	0.11
CUFF.1072.1	4719.00	NODE_19808_length_68_cov_9.352942	0.00	134.00	672.27			1.00	1.00	604.42	740.12	222.73	134.00	NODE_19808_length_68_cov_9.352942	134.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	1.0e-51	emb|CU223764.1|	Populus EST from leave.	2.0e-44
CUFF.1074.1	4721.00	NODE_1983_length_92_cov_31.619566	0.00	158.00	1320.75	12.83	102.93	1.00	1.00	1233.17	1408.33	437.58	158.00	NODE_1983_length_92_cov_31.619566	158.00	emb|CU223764.1|	Populus EST from leave.	2.0e-44	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	9.0e-44
CUFF.1076.1	4717.00	NODE_1975_length_629_cov_44.335453	0.00	695.00	1011.63			1.00	1.00	975.08	1048.18	335.13	695.00	NODE_1975_length_629_cov_44.335453	695.00	ref|XM_002519248.1|	Ricinus communis conserved hypothetical protein, mRNA.	1.0e-09	ref|XM_002264190.1|	PREDICTED: Vitis vinifera hypothetical protein LOC100247823 (LOC100247823), mRNA.	1.0e-06
CUFF.1078.1	4723.00	NODE_1984_length_238_cov_18.394958	0.00	304.00	375.77			1.00	1.00	342.10	409.45	124.48	304.00	NODE_1984_length_238_cov_18.394958	304.00	gb|BT092525.1|	Soybean clone JCVI-FLGm-11K21 unknown mRNA.	2.0e-06	dbj|AP006412.1|	Lotus japonicus genomic DNA, chromosome 6, clone: LjT29C05, TM0301c, complete sequence.	7.0e-03
CUFF.1082.1	4731.00	NODE_1997_length_141_cov_36.510639	0.00	207.00	613.92			1.00	1.00	561.75	666.09	203.38	207.00	NODE_1997_length_141_cov_36.510639	207.00	ref|XM_001734838.1|	Entamoeba dispar SAW760 hypothetical protein EDI_072450 mRNA, complete cds.	0.30	ref|XM_758216.1|	Theileria parva strain Muguga chromosome 3 hypothetical protein (TP03_0291) partial mRNA.	0.30
CUFF.1085.1	4733.00	NODE_1_length_981_cov_40.408768	0.00	1047.00	956.78	14.29	66.95	1.00	1.00	927.82	985.73	316.95	1047.00	NODE_1_length_981_cov_40.408768	1047.00	dbj|AK245806.1|		1.0e-164	gb|AC145222.18|	Medicago truncatula clone mth2-29a15, complete sequence.	1.0e-116
CUFF.1087.1	4737.00	NODE_20060_length_79_cov_7.417722	0.00	145.00	213.55			1.00	1.00	176.79	250.32	70.75	145.00	NODE_20060_length_79_cov_7.417722	145.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	3.0e-43	emb|CU223764.1|	Populus EST from leave.	3.0e-31
CUFF.1089.1	4739.00	NODE_2008_length_225_cov_52.097778	0.00	291.00	1791.77	107.92	16.60	1.00	1.00	1716.61	1866.93	592.19	291.00	NODE_2008_length_225_cov_52.097778	291.00	dbj|AK286939.1|	Glycine max cDNA, clone: GMFL01-40-J01.	3.0e-36	gb|BT099330.1|	Soybean clone JCVI-FLGm-16N16 unknown mRNA.	7.0e-34
CUFF.109.1	3661.00	NODE_10672_length_427_cov_48.229507	0.00	493.00	1600.15			1.00	1.00	1545.58	1654.72	529.27	493.00								
CUFF.1092.1	4743.00	NODE_20112_length_67_cov_34.522388	0.00	133.00	391.51			1.00	1.00	339.54	443.48	129.70	133.00	NODE_20112_length_67_cov_34.522388	133.00	gb|DQ205673.1|	Pseudovigna argentea BTF3-like protein gene, partial sequence.	3.0e-31	gb|BT091624.1|	Soybean clone JCVI-FLGm-8M12 unknown mRNA.	2.0e-25
CUFF.1094.1	4745.00	NODE_2011_length_218_cov_55.752293	0.00	284.00	1054.87	286.51	3.68	1.00	1.00	996.49	1113.25	349.39	284.00	NODE_2011_length_218_cov_55.752293	284.00	gb|BT094612.1|	Soybean clone JCVI-FLGm-18N2 unknown mRNA.	2.0e-52	gb|BT094169.1|	Soybean clone JCVI-FLGm-18C24 unknown mRNA.	5.0e-50
CUFF.1096.1	4747.00	NODE_2015_length_177_cov_61.853107	0.00	243.00	1102.59			1.00	1.00	1038.06	1167.11	365.24	243.00	NODE_2015_length_177_cov_61.853107	243.00	gb|AC235417.1|	Glycine max strain Williams 82 clone GM_WBb0135A07, complete sequence.	1.0e-07	gb|EF517793.1|	Petunia integrifolia subsp. inflata BAC 126I14, complete sequence.	1.0e-03
CUFF.1098.1	4749.00	NODE_2016_length_277_cov_28.476534	0.00	343.00	623.30			1.00	1.00	582.46	664.13	206.46	343.00	NODE_2016_length_277_cov_28.476534	343.00	gb|BT096018.1|	Soybean clone JCVI-FLGm-20A18 unknown mRNA.	9.0e-06	dbj|AK244966.1|	Glycine max cDNA, clone: GMFL01-17-P23.	9.0e-06
CUFF.1100.1	4741.00	NODE_200_length_483_cov_104.089027	0.00	549.00	2499.90			1.00	1.00	2435.26	2564.54	828.15	549.00	NODE_200_length_483_cov_104.089027	549.00	emb|AL732503.8|	Mouse DNA sequence from clone RP23-28O9 on chromosome 4 Contains a novel gene and a CpG island, complete sequence.	0.05	ref|XM_001458928.1|	Paramecium tetraurelia hypothetical protein (GSPATT00024297001) partial mRNA.	0.22
CUFF.1102.1	4753.00	NODE_2019_length_191_cov_69.806282	0.00	257.00	1285.30			1.00	1.00	1217.56	1353.04	425.77	257.00	NODE_2019_length_191_cov_69.806282	257.00	gb|BT093916.1|	Soybean clone JCVI-FLGm-17N16 unknown mRNA.	3.0e-60	gb|BT093359.1|	Soybean clone JCVI-FLGm-24G9 unknown mRNA.	2.0e-58
CUFF.1104.1	4751.00	NODE_2017_length_477_cov_53.469601	0.00	543.00	1233.56			1.00	1.00	1187.90	1279.21	408.61	543.00	NODE_2017_length_477_cov_53.469601	543.00	gb|AC145329.35|	Medicago truncatula clone mth2-8i21, complete sequence.	3.0e-03	ref|XM_002269516.1|	PREDICTED: Vitis vinifera hypothetical protein LOC100262313 (LOC100262313), mRNA.	0.01
CUFF.1106.1	4757.00	NODE_2020_length_723_cov_33.091286	0.00	789.00	764.05			1.00	1.00	734.24	793.86	253.12	789.00	NODE_2020_length_723_cov_33.091286	789.00	dbj|AK244361.1|	Glycine max cDNA, clone: GMFL01-02-M21.	1.0e-145	ref|XM_002313353.1|	Populus trichocarpa predicted protein, mRNA.	1.0e-119
CUFF.1108.1	4755.00	NODE_201_length_723_cov_51.585064	0.00	789.00	1205.10	6.13	196.31	1.00	1.00	1167.66	1242.54	399.22	789.00	NODE_201_length_723_cov_51.585064	789.00	gb|BT093429.1|	Soybean clone JCVI-FLGm-14I5 unknown mRNA.	1.0e-132	gb|BT090157.1|	Soybean clone JCVI-FLGm-3D18 unknown mRNA.	1.0e-129
CUFF.111.1	3667.00	NODE_10718_length_67_cov_67.686569	0.00	133.00	685.46	8.22	83.34	1.00	1.00	616.69	754.23	227.02	133.00								
CUFF.1110.1	4759.00	NODE_2027_length_234_cov_79.162392	0.00	300.00	1074.31	656.98	1.63	1.00	1.00	1016.99	1131.64	355.89	300.00	NODE_2027_length_234_cov_79.162392	300.00	emb|CT033765.2|	Medicago truncatula chromosome 5 clone mth2-105d20, COMPLETE SEQUENCE.	5.0e-07	emb|FN668944.1|	Clostridium difficile BI9 chromosome.	0.02
CUFF.1112.1	4761.00	NODE_20289_length_67_cov_6.626866	0.00	133.00	2310.94			1.00	1.00	2184.68	2437.21	765.15	133.00	NODE_20289_length_67_cov_6.626866	133.00	gb|AY737497.2|	Macropus eugenii green-sensitive visual pigment (OPN1MW), CXorf2 (CXorf2), and TKT2-like protein (TKT2) genes, complete cds.	0.18	ref|XM_002389607.1|	Moniliophthora perniciosa FA553 hypothetical protein (MPER_11193) mRNA, complete cds.	0.71
CUFF.1114.1	4765.00	NODE_202_length_597_cov_48.366833	0.00	663.00	1135.54			1.00	1.00	1095.89	1175.18	376.16	663.00	NODE_202_length_597_cov_48.366833	663.00	dbj|AP009747.1|	Lotus japonicus genomic DNA, clone: LjT40A21, TM1883, complete sequence.	2.0e-97	gb|BT053350.1|	Medicago truncatula clone MTYFP_FQ_FR_FS1G-N-10 unknown mRNA.	2.0e-76
CUFF.1116.1	4763.00	NODE_2028_length_222_cov_94.900902	0.00	288.00	2726.40	5.22	521.38	1.00	1.00	2633.20	2819.60	902.97	288.00	NODE_2028_length_222_cov_94.900902	288.00	gb|AY750709.1|	Glycine max resistance-like protein HAAS-1 mRNA, partial cds.	2.0e-18	emb|CU896651.4|	M.truncatula DNA sequence from clone MTE1-27C22 on chromosome 3, complete sequence.	5.0e-13
CUFF.1118.1	4767.00	NODE_20306_length_132_cov_9.030303	11.00	198.00	2122.29	222.25	9.54	1.00	1.00	2020.24	2224.34	703.14	187.00	NODE_20306_length_132_cov_9.030303	198.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	1.0e-43	emb|CU223764.1|	Populus EST from leave.	1.0e-31
CUFF.1120.1	4769.00	NODE_2030_length_230_cov_162.204346	0.00	291.00	2564.29	806.09	3.18	1.00	1.00	2474.37	2654.21	849.38	291.00	NODE_2030_length_230_cov_162.204346	296.00	gb|BT090240.1|	Soybean clone JCVI-FLGm-4A13 unknown mRNA.	1.0e-118	gb|BT096427.1|	Soybean clone JCVI-FLGm-15F5 unknown mRNA.	2.0e-89
CUFF.1122.1	4771.00	NODE_2042_length_212_cov_27.075472	0.00	278.00	525.61	9.41	55.84	1.00	1.00	483.96	567.27	174.12	278.00	NODE_2042_length_212_cov_27.075472	278.00	gb|BT089840.1|	Soybean clone JCVI-FLGm-2P20 unknown mRNA.	8.0e-15	gb|AC068490.4|	Homo sapiens BAC clone RP11-789K7 from 2, complete sequence.	0.02
CUFF.1124.1	4775.00	NODE_20455_length_67_cov_4.268657	0.00	133.00	887.78	5.42	163.72	1.00	1.00	809.52	966.05	294.13	133.00	NODE_20455_length_67_cov_4.268657	133.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	4.0e-30	emb|CU223764.1|	Populus EST from leave.	2.0e-26
CUFF.1127.1	4779.00	NODE_20507_length_489_cov_13.100204	463.00	554.00	7.56	361.74	0.02	1.00	1.00	0.00	16.29	2.50	91.00	NODE_20507_length_489_cov_13.100204	555.00	ref|XM_002309260.1|		3.0e-68	ref|XM_002277436.1|	PREDICTED: Vitis vinifera hypothetical protein LOC100265306 (LOC100265306), mRNA.	4.0e-55
CUFF.113.1	3669.00	NODE_10719_length_216_cov_19.550926	0.00	282.00	947.64			1.00	1.00	892.12	1003.18	311.73	282.00								
CUFF.1130.1	4773.00	NODE_2043_length_172_cov_111.284882	0.00	238.00	1976.81			1.00	1.00	1889.51	2064.11	654.38	238.00	NODE_2043_length_172_cov_111.284882	238.00	gb|AC020704.5|	Homo sapiens BAC clone RP11-315L6 from 15, complete sequence.	0.02	gb|AC235183.1|	Glycine max strain Williams 82 clone GM_WBb0008G09, complete sequence.	0.35
CUFF.1132.1	4785.00	NODE_2053_length_265_cov_62.860378	0.00	331.00	1196.16	199.32	6.00	1.00	1.00	1138.57	1253.74	396.25	331.00	NODE_2053_length_265_cov_62.860378	331.00	ref|XM_002523056.1|	Ricinus communis conserved hypothetical protein, mRNA.	3.0e-05	emb|AM746676.1|	Sorangium cellulosum 'So ce 56' complete genome.	0.50
CUFF.1134.1	4783.00	NODE_2052_length_438_cov_49.577625	0.00	504.00	1057.29			1.00	1.00	1013.42	1101.16	350.25	504.00	NODE_2052_length_438_cov_49.577625	504.00	gb|AC125397.5|	Mus musculus BAC clone RP24-206J16 from chromosome 2, complete sequence.	0.20	gb|AC120768.5|	Rattus norvegicus 7 BAC CH230-152B10 (Children's Hospital Oakland Research Institute) complete sequence.	0.20
CUFF.1136.1	4787.00	NODE_20555_length_127_cov_12.921260	3.00	193.00	208.86			1.00	1.00	177.10	240.62	69.19	190.00	NODE_20555_length_127_cov_12.921260	193.00	gb|EZ285930.1|	TSA: Artemisia annua strain Madagascar Contig12317, mRNA sequence.	4.0e-28	gb|EZ295988.1|	TSA: Artemisia annua strain Madagascar Contig1873.Blm mRNA sequence.	4.0e-28
CUFF.1138.1	4789.00	NODE_20561_length_79_cov_5.189873	2.00	145.00	132.24			1.00	1.00	103.11	161.37	43.81	143.00	NODE_20561_length_79_cov_5.189873	145.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	9.0e-50	emb|CU223764.1|	Populus EST from leave.	5.0e-45
CUFF.1141.1	4795.00	NODE_20608_length_72_cov_18.291666	0.00	138.00	547.67	9.16	59.76	1.00	1.00	487.33	608.02	181.45	138.00	NODE_20608_length_72_cov_18.291666	138.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	2.0e-56	emb|CU223764.1|	Populus EST from leave.	1.0e-48
CUFF.1143.1	4797.00	NODE_20632_length_75_cov_3.333333	2.00	140.00	38.23			1.00	1.00	22.28	54.17	12.66	138.00	NODE_20632_length_75_cov_3.333333	141.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	1.0e-36	emb|CU223764.1|	Populus EST from leave.	7.0e-32
CUFF.1146.1	4799.00	NODE_2063_length_504_cov_97.666664	0.00	570.00	2226.70	4.03	551.99	1.00	1.00	2166.83	2286.57	737.62	570.00	NODE_2063_length_504_cov_97.666664	570.00	gb|BT091583.1|	Soybean clone JCVI-FLGm-8G16 unknown mRNA.	6.0e-42	gb|AC158497.2|	Medicago truncatula chromosome 2 clone mth2-48e18, complete sequence.	1.0e-15
CUFF.1148.1	4801.00	NODE_20658_length_77_cov_8.896104	0.00	143.00	185.96			1.00	1.00	151.41	220.50	61.61	143.00	NODE_20658_length_77_cov_8.896104	143.00	emb|AM697674.1|	Platynereis dumerilii mRNA for hypothetical protein (ORF1), isolate 2.	2.0e-47	emb|CU223764.1|	Populus EST from leave.	5.0e-45
